"Date","Forecast","Lower","Upper"
2025-03-03,128.039782311612,126.382592543266,129.696972079959
2025-04-03,128.137215291261,124.810755424207,131.463675158314
2025-05-03,127.925192583637,123.096745295046,132.753639872228
2025-06-03,127.759188684981,122.111512390972,133.40686497899
2025-07-03,127.735871256448,121.553896155833,133.917846357062
2025-08-03,127.800184045733,121.223132581959,134.377235509508
2025-09-03,127.824439751901,120.806576542165,134.842302961638
2025-10-03,127.808026185872,120.359942397377,135.256109974366
2025-11-03,127.779260874519,119.908188370776,135.650333378262
2025-12-03,127.780848292994,119.542363486532,136.019333099457
2026-01-03,127.794298571299,119.198576502404,136.390020640194
2026-02-03,127.80668528284,118.869625173877,136.743745391803
